110,2,37,Begin DSG,"Last-Time System status,MAP","String Current,I16,0.1,0,A","CHG/DSG Current Detect Threshold,I16,0.1,0,A","{""evt_id"":{""1"":"" CHG "",""4"":""Stop""}}"
111,2,38,Stop DSG,"Last-Time System status,MAP","String Current,I16,0.1,0,A",,{evt_id:{2: DSG }}
112,2,39,Battery Fully-CHG,"Max Voltage ID,U16,1,0,","String Voltage,U16,0.1,0,V","Max Cell Voltage,U16,0.0001,0,V",
113,2,40,Battery Empty-DSG,"Min Voltage ID,U16,1,0,","String Voltage,U16,0.1,0,V","Min Cell Voltage,U16,0.0001,0,V",
114,2,41,Balance Start (Reserved),,,,
115,2,42,Balance Stop (Reserved),,,,
116,2,43,QF Switch Off,"coil ID,U16,1,0,",,"QF Relay status,MAP","{""evt_threshold"":{""0"":""Off"",""1"":""On""}}"
117,2,44,KM+ Switch Off,"coil ID,U16,1,0,",,"KM+ Relay status,MAP","{""evt_threshold"":{""0"":""Off"",""1"":""On""}}"
118,2,45,KM- Switch Off,"coil ID,U16,1,0,",,"KM- Relay status,MAP","{""evt_threshold"":{""0"":""Off"",""1"":""On""}}"
119,2,46,KM+ Switch On,"coil ID,U16,1,0,",,"KM+ Relay status,MAP","{""evt_threshold"":{""0"":""Off"",""1"":""On""}}"
120,2,47,KM- Switch On,"coil ID,U16,1,0,",,"KM- Relay status,MAP","{""evt_threshold"":{""0"":""Off"",""1"":""On""}}"
121,2,48,Fan Turn On,Fan Relay status ,"Max Battery Temperature,I16,0.1,0,℃","Environmental Control Temperature Threshold,I16,0.1,0,℃",
122,2,49,Fan Turn Off,Fan Relay status ,"Max Battery Temperature,I16,0.1,0,℃","Environmental Control Temperature Threshold,I16,0.1,0,℃",
123,2,50,BMS Start,"Start Register,U16,1,0,",,,
